DPT_CD,DPT_DSC,AGY_TYPE,OWNER_CD,OWNER_DSC,FPAP_CD,FPAP_DSC,AREA_CD,AREA_DSC,PS,MOOE,CO,NET

ARF,Agrarian Reform Fund,SPF,ARF,Agrarian Reform Fund,C.01,        For the Requirements of the Comprehensive Agrarian Reform Program,0,CO,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.b,            Productivity Incentive Benefits,0,CO,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02,        Support to Operations,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a,"            Planning, Monitoring, Policy Research and Project Management",140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.01,                  Central Office,0,CO,17308,881
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02,                  Regional Offices,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.a,                      Region I,10,Region I,1185,148
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.b,                      Cordillera Administrative Region,11,Cordillera Administrative Region,2784,128
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.c,                      Region II,20,Region II,1388,149
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.d,                      Region III,30,Region III,1435,113
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.e,                      Region IV,40,Region IV,1397,181
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.f,                      Region V,50,Region V,1084,143
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.g,                      Region VI,60,Region VI,1370,117
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.h,                      Region VII,70,Region VII,1104,99
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.i,                      Region VIII,80,Region VIII,470,122
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.j,                      Region IX,90,Region IX,1442,113
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.k,                      Region X,100,Region X,1438,123
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.l,                      Region XI,110,Region XI,1597,120
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.m,                      Region XII,120,Region XII,1372,108
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.n,                      Region XIII,180,Region XIII,,145
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.b,            Agrarian Reform Information and Education,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.b.01,"                  Development of plans and programs for human resources development, including assistance to third country training on areas related to agrarian reform",0,CO,10313,2371
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.b.02,"                  Administration of the Fiduciary Fund for Agrarian Reform Education, including the payment   of P200,000 for official representation and related expenses for meals of the Department's personnel, participants from other agencies and agrarian reform beneficiaries",0,CO,,2357
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.c,            Agrarian Legal Assistance,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.c.01,"                  Formulation of plans, programs and policies for the dissemination of legal information, effective delivery of legal services and assistance to agrarian reform beneficiaries and landowners",0,CO,6110,677
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.d,            Land Acquisition and Distribution,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.d.01,"                  Development of plans, programs, policies and procedures relative to the acquisition and distribution of agricultural lands, agrarian reform beneficiary and landowner identification, land valuation and landowner's compensation",0,CO,17423,1934
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.e,            Land Use Management and Land Development,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.e.01,"                  Development of plans, programs, policies and procedures relative to land survey, land use capability and classification, engineering services and land consolidation",0,CO,12358,823
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.f,            Agrarian Reform Beneficiaries Development,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.f.01,"                  Development of plans, programs and policies relative to the development of settlement areas into viable communities, including the promotion of agrarian reform beneficiaries organizations and other forms of farmer cooperation",0,CO,9887,2604
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03,        Operations,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.a,            Agrarian Legal Assistance,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.a.01,                  Mediation and extension of legal assistance and coordination of para-legal services to agrarian reform beneficiaries,0,CO,15094,543
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.a.02,                  Provision of legal assistance and services to rejected or displaced farmers/settlers in unorganized settlement areas and privately-owned farms,0,CO,,348
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b,            Agrarian Reform Information and Education,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01,                  Regional Offices,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.a,                      Region I,10,Region I,1284,165
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.b,                      Cordillera Administrative Region,11,Cordillera Administrative Region,1494,120
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.c,                      Region II,20,Region II,1168,312
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.d,                      Region III,30,Region III,4374,226
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.e,                      Region IV,40,Region IV,1380,155
